"Date" "x" "y" "Species" "Type" "dist_obs"
"2018-08-17" 759.097943237065 4626.93951826967 "Tursiops truncatus" "UNIRM" 1.1483
"2018-08-19" 759.011788746972 4626.44494150982 "Tursiops truncatus" "UNIRM" 0.972
"2018-08-19" 648.881943526851 4681.63817637083 "Stenella coeruleoalba" "Social" NA
"2018-08-19" 649.901232447799 4682.04645612409 "Stenella coeruleoalba" "Social" NA
"2018-08-20" 703.032425649564 4666.41058884045 "Stenella coeruleoalba" "Social" NA
"2018-08-22" 763.724626934053 4619.42192235323 "Tursiops truncatus" "UNIRM" 0.89486
"2018-08-23" 763.422684740407 4620.62837419611 "Tursiops truncatus" "UNIRM" 0.67106
"2018-08-29" 776.705224160964 4607.99664706353 "Tursiops truncatus" "UNIRM" 1.98213
"2018-08-30" 775.369082027716 4621.8217996181 "Tursiops truncatus" "UNIRM" 2.06952
"2018-09-06" 766.899320790074 4615.33403951541 "Tursiops truncatus" "UNIRM" 0.7497
"2018-09-09" 764.201397913314 4624.75012726953 "Tursiops truncatus" "UNIRM" 0.972
"2018-09-11" 753.541218137724 4642.74843552338 "Tursiops truncatus" "UNIRM" 0.44917
"2018-09-17" 765.88263095178 4620.03098429255 "Tursiops truncatus" "UNIRM" 0.81057
"2018-09-18" 774.597543490177 4615.30990084771 "Tursiops truncatus" "UNIRM" 0.9708
"2018-09-29" 769.950690067903 4622.23148696992 "Tursiops truncatus" "UNIRM" 0.972
"2018-09-30" 766.859757208809 4622.64043431823 "Tursiops truncatus" "UNIRM" 0.972
"2018-09-30" 765.238901064342 4619.22763979264 "Tursiops truncatus" "UNIRM" 0.972
"2018-10-21" 770.54467900923 4618.72769348499 "Tursiops truncatus" "UNIRM" 0.972
"2019-04-14" 763.98904083805 4629.03219021307 "Tursiops truncatus" "UNIRM" 1.92519
"2019-04-17" 766.695063754607 4612.8401067429 "Stenella coeruleoalba" "UNIRM" 0.7735
"2019-04-17" 768.111467065522 4625.28039658356 "Tursiops truncatus" "UNIRM" 0.19034
"2019-05-24" 766.861555237325 4622.45813697844 "Tursiops truncatus" "UNIRM" 1.0501
"2019-05-25" 761.741904720755 4628.74822616841 "Tursiops truncatus" "UNIRM" 0.80433
"2019-06-01" 774.726728548288 4623.44411304999 "Tursiops truncatus" "UNIRM" 0.972
"2019-06-02" 773.749529462456 4619.40655706465 "Tursiops truncatus" "UNIRM" 0.972
"2019-06-02" 816.963297618275 4556.46794963535 "Stenella coeruleoalba" "Social" NA
"2019-06-21" 786.934774032653 4592.24294130045 "Tursiops truncatus" "UNIRM" 0.8002
"2019-06-21" 786.934774032653 4592.24294130045 "Stenella coeruleoalba" "UNIRM" 0.8002
"2019-06-28" 759.383594998518 4629.59730122661 "Tursiops truncatus" "UNIRM" 1.482
"2019-06-29" 773.425703750265 4623.56219916872 "Tursiops truncatus" "UNIRM" 0.972
"2019-07-01" 767.909810504847 4624.72684783441 "Tursiops truncatus" "UNIRM" 0.16139
"2019-07-02" 771.512625436112 4618.26611550794 "Tursiops truncatus" "UNIRM" 0.71227
"2019-07-03" 773.197027240172 4619.03961796155 "Tursiops truncatus" "UNIRM" 0.972
"2019-07-04" 764.933860141075 4622.01957554203 "Tursiops truncatus" "UNIRM" 0.42129
"2019-07-05" 768.078874281611 4620.18957689222 "Tursiops truncatus" "UNIRM" 0.97444
"2019-07-05" 766.328243304462 4624.80899880346 "Tursiops truncatus" "UNIRM" 0.972
"2019-07-06" 765.235825310614 4625.22430543044 "Tursiops truncatus" "UNIRM" 0.564
"2019-07-18" 768.608000541216 4623.45866309244 "Tursiops truncatus" "UNIRM" 0.37823
"2019-07-21" 772.930911632579 4619.71116310197 "Tursiops truncatus" "UNIRM" 1.07
"2019-07-24" 772.679536835217 4614.54838599963 "Tursiops truncatus" "UNIRM" 0.79159
"2019-07-25" 778.889602431905 4607.16133333949 "Tursiops truncatus" "UNIRM" 1.86794
"2019-08-05" 765.584658356314 4624.6901652856 "Tursiops truncatus" "UNIRM" 0.31465
"2019-08-06" 753.807405378889 4621.15057309773 "Tursiops truncatus" "UNIRM" 0.972
"2019-08-10" 773.188962936287 4620.48609404424 "Tursiops truncatus" "UNIRM" 1.31287
"2019-08-12" 760.009378595676 4622.27375387696 "Tursiops truncatus" "UNIRM" 0.44611
"2019-08-19" 767.136758692333 4622.69747191436 "Tursiops truncatus" "UNIRM" 1.56118
"2019-08-20" 770.123359614209 4611.91300330499 "Tursiops truncatus" "UNIRM" 0.972
"2019-08-21" 757.071458137817 4623.13827633794 "Tursiops truncatus" "UNIRM" 0.82614
"2019-08-24" 772.334705493643 4622.03822562825 "Tursiops truncatus" "UNIRM" 0.972
"2019-08-26" 765.597121160887 4618.87396619076 "Tursiops truncatus" "UNIRM" 1.32684
"2019-08-26" 752.298260738493 4641.42005559973 "Tursiops truncatus" "UNIRM" 0.52417
"2019-08-28" 765.944730752892 4620.28904077238 "Tursiops truncatus" "UNIRM" 2.42016
"2019-09-01" 764.842516351578 4624.48695559856 "Tursiops truncatus" "UNIRM" 3.90844
"2019-09-01" 770.528159855381 4618.70149340407 "Tursiops truncatus" "UNIRM" 2.41667
"2019-09-02" 756.346914837288 4625.61949847832 "Tursiops truncatus" "UNIRM" 0.972
